"variant","round","measured","managedEntryMs","appOnStartupMs","controllerCreatedMs","startAsyncBeginMs","startAsyncEndMs","commandReadyMs","dwmFlushCompleteMs","workingSet","dwmHresult"
"sdk-compressed","0","False","121.9287","244.6208","391.9968","392.0663","1270.8189","1275.5812","1288.3748","119259136","0"
"sdk-uncompressed","0","False","123.571","278.2961","434.1123","434.1942","1071.4726","1076.2958","1096.8783","116654080","0"
"sdk-uncompressed","1","True","106.4253","232.3401","388.847","388.9383","950.1558","954.4172","978.4975","116924416","0"
"sdk-compressed","1","True","105.1798","225.5937","374.4872","374.5531","939.2461","942.89","950.077","116948992","0"
"sdk-compressed","2","True","118.2774","259.1361","391.5482","391.6157","937.5325","943.0072","969.7891","117026816","0"
"sdk-uncompressed","2","True","128.3812","269.7753","426.5991","426.6754","1031.7724","1035.3505","1058.1749","116981760","0"
"sdk-uncompressed","3","True","120.1608","249.7977","380.5601","380.6269","948.8601","952.5131","975.9937","116953088","0"
"sdk-compressed","3","True","102.8862","220.4308","352.2124","352.2875","925.0137","928.8125","953.9408","116924416","0"
"sdk-compressed","4","True","134.6908","260.0826","392.3516","392.4253","973.7949","978.7129","990.528","116994048","0"
"sdk-uncompressed","4","True","126.2425","248.317","379.2743","379.3417","962.7241","967.1117","975.9577","116764672","0"
"sdk-uncompressed","5","True","104.4345","229.6976","366.2376","366.3052","924.9284","929.5924","953.0537","117039104","0"
"sdk-compressed","5","True","108.1061","225.5409","351.897","351.9643","926.2187","930.291","948.0523","116961280","0"
"sdk-compressed","6","True","128.5095","279.827","443.771","443.8498","1034.1069","1037.8901","1055.9146","117153792","0"
"sdk-uncompressed","6","True","111.2646","227.2119","358.6356","358.7009","921.5066","926.4313","952.5249","116899840","0"
"sdk-uncompressed","7","True","109.5003","220.2678","353.9823","354.0646","938.7512","942.6768","958.7811","118476800","0"
"sdk-compressed","7","True","100.7189","214.6835","342.4965","342.5758","884.7956","888.5772","903.2413","117239808","0"
"sdk-compressed","8","True","107.2974","226.5208","352.8915","352.9589","889.6418","893.2542","898.3281","116989952","0"
"sdk-uncompressed","8","True","102.2846","216.5444","339.9013","339.9766","865.6063","870.724","880.0795","117063680","0"
"sdk-uncompressed","9","True","103.205","220.8729","344.8148","344.884","907.0133","911.4489","937.8264","116985856","0"
"sdk-compressed","9","True","99.1048","212.1476","336.9148","336.9905","915.2927","919.7615","930.2341","117280768","0"
"sdk-compressed","10","True","99.885","217.8638","340.7088","340.7759","856.6463","860.2812","868.2221","117149696","0"
"sdk-uncompressed","10","True","102.171","213.1437","336.3831","336.4548","862.9877","866.6019","892.6538","117325824","0"
"sdk-uncompressed","11","True","104.6036","220.5855","350.0504","350.1173","908.2039","913.0506","939.5395","117325824","0"
"sdk-compressed","11","True","98.2946","213.4369","335.8515","335.9783","867.9374","872.5164","882.8687","117305344","0"
"sdk-compressed","12","True","98.5919","215.8377","345.2218","345.3112","887.4537","890.8892","917.7014","117256192","0"
"sdk-uncompressed","12","True","104.5833","218.9862","342.9162","342.9988","876.3412","880.8518","891.1312","117116928","0"
