"round","variant","count","managedMs","startupMs","renderingMs","readyMs","cacheReadyMs","shellReadyMs","controllerMs","stateLoadMs","stateSerializeMs","trayMs","buildShellMs","buildTopBarMs","buildBodyMs","buildNoteMs","markdownConstructMs","exitMs","workingSetBytes","privateBytes","cacheWrites","shellCount"
"0","baseline","1","118.009","245.6922","980.7795","1032.5081","1411.0532","1556.5251","117.3664","76.4123","19.3032","271.4951","117.1235","27.699","79.8285","74.3258","59.1995","89.7432","115892224","40132608","1","1"
"0","json","1","86.5972","208.0812","757.3921","797.8597","1194.9386","1342.477","126.6691","85.647","11.3464","159.5599","116.8292","27.3663","79.9121","74.4404","59.2534","79.7425","118956032","43012096","1","1"
"0","styles","1","82.702","204.4185","731.8143","773.8323","1147.402","1291.3173","124.3515","82.2872","18.9583","167.9664","115.2439","26.6377","79.1705","73.6778","58.8643","87.3669","114896896","40177664","1","1"
"0","traylate","1","81.7499","202.2833","684.6846","821.6177","1179.9196","1324.7162","138.1309","85.6043","20.0088","81.6785","116.7454","27.0733","79.982","74.4079","59.2621","105.7748","114409472","38707200","1","1"
"0","baseline","10","90.765","222.8814","914.5386","960.1064","1467.8768","1720.7364","126.4563","85.1595","21.1854","175.4239","210.15269999999998","49.392999999999994","121.5523","114.48889999999997","73.91359999999999","123.841","151212032","68812800","10","10"
"0","json","10","88.9155","215.4859","837.6284","881.8327","1337.6634","1552.8502","121.6261","82.25","13.8718","156.6425","194.6027","47.1214","109.85770000000001","103.0923","64.94980000000001","116.3279","156549120","72810496","10","10"
"0","styles","10","104.1111","230.8816","853.1819","913.858","1373.3375","1604.5781","113.6902","73.9416","19.9308","156.2139","211.2522","45.4962","111.7555","104.48389999999999","65.6982","125.655","152002560","68612096","10","10"
"0","traylate","10","83.8204","205.5268","785.654","946.6733","1381.7053","1616.4185","119.8434","79.7068","20.0109","87.349","196.75349999999997","48.9044","110.04180000000001","103.2242","64.4507","126.9416","150429696","67211264","10","10"
"1","baseline","10","87.2869","208.8609","843.1289","881.6565","1412.9994","1646.0673","131.7008","92.4329","18.6248","155.9293","211.89879999999997","47.7435","109.7647","103.13139999999997","64.9811","120.1641","151076864","68747264","10","10"
"1","traylate","10","78.2608","206.2562","796.352","959.4507","1378.7542","1613.1293","140.0239","100.4593","20.1469","82.0016","213.4229","48.2607","110.03780000000002","103.11940000000001","64.8376","123.8331","151408640","69222400","10","10"
"1","styles","10","80.914","207.8541","839.8114","894.3724","1312.4266","1546.8807","131.4015","91.4014","20.3707","158.6971","212.93949999999998","44.7701","128.66209999999998","121.9401","64.6078","123.5299","151203840","68284416","10","10"
"1","json","10","80.2044","201.1878","841.5115","883.5103","1360.5944","1601.2053","135.23","94.7623","14.1466","157.4205","220.02869999999996","47.837500000000006","116.9443","107.10850000000002","67.69789999999999","115.8981","156360704","73834496","10","10"
"1","baseline","1","79.2752","200.772","732.4843","775.1856","1130.1609","1278.4018","136.4265","91.3222","19.9629","155.4115","119.4588","28.2593","81.2687","75.7565","59.9985","88.1537","113971200","39661568","1","1"
"1","traylate","1","88.2275","212.1098","695.9013","854.6025","1221.2544","1385.9776","131.7497","92.1331","20.3357","80.8319","135.7416","32.5988","89.8131","83.4527","67.8631","90.2298","114229248","39985152","1","1"
"1","styles","1","80.5414","202.3408","731.3614","773.5853","1145.4005","1291.9722","136.3541","97.0292","20.6562","155.7068","117.6948","27.2004","80.7495","75.2102","59.6454","91.6788","114429952","40452096","1","1"
"1","json","1","82.8817","205.185","729.9367","781.1141","1176.706","1325.4225","133.3722","94.0551","12.7177","153.8266","119.9959","27.6442","82.6446","76.8924","61.5844","81.669","118456320","43433984","1","1"
"2","styles","1","78.5885","201.3343","746.0389","796.5377","1224.5751","1370.9635","131.3338","91.0476","20.1758","173.7227","117.7081","27.2264","80.773","75.1425","59.8483","89.7478","114470912","40263680","1","1"
"2","traylate","1","77.4969","202.0873","688.1479","844.1981","1196.932","1351.8212","132.5868","92.3475","21.0892","83.5363","125.7126","27.8302","88.0929","82.4872","66.8208","98.0109","114216960","40116224","1","1"
"2","baseline","1","79.8095","199.7267","729.5601","769.753","1143.3289","1288.4987","131.2081","91.1156","20.2454","159.8911","116.8245","27.4847","79.8485","74.3985","59.3713","90.7571","114114560","39157760","1","1"
"2","json","1","77.3883","200.7361","749.3224","799.8357","1220.8338","1367.3085","152.0254","107.7915","12.113","157.8504","116.9798","27.1593","80.2107","74.6308","58.8701","85.2119","118468608","43126784","1","1"
"2","styles","10","84.9248","218.6371","850.0557","888.6246","1361.2149","1585.9397","128.2199","89.0623","19.3235","155.3956","205.1122","43.23310000000001","125.87899999999999","119.1432","63.4076","125.8694","150892544","68022272","10","10"
"2","traylate","10","81.5584","208.8163","821.819","982.2124","1421.7159","1650.5555","141.2544","98.1862","20.976","84.1935","208.803","46.1775","108.6153","101.94999999999997","64.35860000000001","125.1366","150917120","68825088","10","10"
"2","baseline","10","79.2559","200.2637","863.2117","920.5376","1396.9445","1634.1311","134.361","93.2632","21.1379","162.2276","216.07800000000003","47.769299999999994","113.7501","106.67169999999999","68.07410000000002","142.7921","151166976","68276224","10","10"
"2","json","10","86.4313","211.9977","863.6698","916.7574","1313.8992","1547.1026","136.8487","95.6824","13.7115","164.7158","213.54579999999999","48.0196","110.60790000000001","103.85670000000002","65.7831","120.8159","155897856","72794112","10","10"
"3","styles","10","77.6025","208.4009","879.0191","921.4276","1399.1598","1628.6646","132.5925","92.1942","18.8808","160.9548","209.0414","43.112899999999996","127.76920000000001","120.73649999999999","64.0154","123.6227","150765568","67878912","10","10"
