"round","variant","count","managedMs","startupMs","renderingMs","readyMs","cacheReadyMs","shellReadyMs","controllerMs","stateLoadMs","stateSerializeMs","trayReadyMs","normalizeMs","normalizeGlobalMs","normalizePapersMs","trayMs","buildShellMs","buildTopBarMs","buildBodyMs","buildNoteMs","markdownConstructMs","exitMs","workingSetBytes","privateBytes","cacheWrites","shellCount"
"0","baseline","1","142.6106","311.5708","1281.1971","1350.2292","1765.2364","1937.7769","146.4879","91.6656","21.1134","815.784","16.61","10.9416","2.487","334.0646","129.3725","39.6195","79.8892","73.7978","57.8784","101.2822","131477504","54292480","1","1"
"0","traylate","1","99.2368","249.1801","818.7097","877.3135","1362.1469","1584.7246","133.9776","78.0354","21.3068","1334.7073","16.7379","11.262599999999999","2.3619000000000003","97.5553","162.9575","36.9754","115.5141","108.7537","88.4275","110.4553","114933760","40132608","1","1"
"0","baseline","10","96.2099","233.0092","989.6379","1036.6838","1574.0508","1850.5178","130.2454","79.0917","19.646","580.6212","16.666","10.8736","2.4757000000000002","196.2766","222.70319999999998","58.328100000000006","123.7731","116.53009999999999","77.7624","125.1319","172654592","81907712","10","10"
"0","traylate","10","89.5634","233.7817","842.6475","884.9269","1523.5565","1754.5532","118.6074","74.482","17.4746","1404.1426","16.623300000000004","10.961500000000001","2.5302000000000002","87.792","183.6386","47.535399999999996","103.78259999999999","97.2022","64.5058","120.4276","151580672","68354048","10","10"
"1","traylate","10","80.5636","220.7781","837.5769","882.1674","1453.3358","1676.4643","131.5207","89.7376","18.1544","1351.1671","17.0026","11.2679","2.493","87.3292","200.6712","46.4043","100.94789999999999","94.34320000000001","62.036","125.4059","151150592","69013504","10","10"
"1","baseline","10","81.5689","217.9148","882.4343","923.5577","1402.038","1627.767","132.5828","90.508","17.453","540.0587","16.845299999999998","11.254100000000001","2.4057999999999997","171.4224","202.54979999999995","46.5881","100.2141","93.6707","62.2062","123.3073","151445504","69210112","10","10"
"1","traylate","1","81.0131","213.3376","709.13","749.7124","1235.3686","1407.4718","127.9124","86.5118","18.4587","1195.5002","16.3863","10.952300000000001","2.3693999999999997","85.0444","113.5767","28.9572","75.4964","70.0791","55.4814","93.2974","114089984","40005632","1","1"
"1","baseline","1","81.8865","218.8972","778.3628","831.3602","1241.6971","1392.3566","132.9342","90.176","18.3972","541.941","16.5726","10.9333","2.4792","170.1635","119.6104","30.4039","80.002","74.5626","59.514","95.9129","114454528","40165376","1","1"
"2","baseline","1","85.473","220.3098","767.6376","818.5978","1259.9082","1404.985","128.8551","87.4949","18.8406","536.9287","15.9427","10.6167","2.3506","170.2721","114.8549","29.2282","76.3219","70.9317","55.928","93.2879","114610176","39424000","1","1"
"2","traylate","1","84.474","218.2324","720.7387","771.183","1231.7232","1405.9266","134.3336","91.9144","22.6318","1209.8932","16.386","10.9635","2.3577","87.4003","118.5643","30.5301","78.0216","72.4939","57.7395","99.5677","114577408","39378944","1","1"
"2","baseline","10","84.1525","216.3241","874.8133","914.6426","1373.1483","1598.8233","129.3309","87.5966","17.1807","530.1051","16.141099999999998","10.6784","2.4642000000000004","166.8654","202.38509999999997","46.8338","100.98840000000001","94.3459","63.06219999999999","125.4285","150110208","67600384","10","10"
"2","traylate","10","96.473","233.8304","860.7485","914.1957","1441.4158","1664.4586","131.4019","88.7015","19.4579","1342.1208","16.5618","10.9238","2.5392","87.9672","201.34899999999996","46.64359999999999","99.67170000000002","93.1471","62.5076","126.8147","151216128","69120000","10","10"
"3","traylate","10","83.9512","216.5786","824.0407","864.1343","1436.4047","1662.2728","133.2701","90.8921","17.9263","1332.8047","16.521499999999996","10.955","2.4429","90.8904","203.6877","46.7437","101.15179999999998","94.5661","62.8157","127.1663","150986752","68702208","10","10"
"3","baseline","10","80.1104","212.5954","877.9572","930.9037","1409.4669","1639.8102","136.7977","95.2603","16.5152","536.1985","22.7579","16.6269","2.4659999999999997","167.8994","206.65399999999997","47.586100000000016","102.1501","95.55290000000001","63.73820000000001","129.9825","151015424","68915200","10","10"
"3","traylate","1","85.1517","220.8449","708.1507","758.7986","1250.7283","1421.2795","127.9198","86.1034","18.4735","1229.2688","16.4781","11.056700000000001","2.3754","88.0499","112.4945","28.4691","74.9086","69.4757","54.8371","88.8304","114569216","40333312","1","1"
"3","baseline","1","81.5346","208.3887","735.7858","770.2505","1172.5137","1313.0045","126.4364","86.013","18.256","516.1994","15.918800000000001","10.531299999999998","2.3121","164.1562","112.1325","27.5507","75.5679","70.2523","55.766","89.1546","114237440","39145472","1","1"
"4","baseline","1","85.4867","214.8983","751.5073","802.9627","1260.068","1403.0712","129.1294","88.3071","18.4301","526.2118","16.138799999999996","10.8023","2.3276","162.3781","114.3228","30.1991","74.7362","69.3127","55.0402","88.9346","114024448","39596032","1","1"
"4","traylate","1","81.9876","206.3086","675.5173","726.8447","1169.4216","1350.3148","123.9128","83.8817","17.546","1150.7099","15.9429","10.550799999999999","2.4287","84.4267","108.1056","26.8618","72.428","67.2518","53.3495","86.7532","113999872","39727104","1","1"
"4","baseline","10","77.04","202.5164","830.4924","870.6297","1359.7928","1575.9054","124.7708","84.5277","18.2565","502.8979","15.9863","10.636099999999999","2.3480999999999996","159.0235","195.3455","45.9367","99.29969999999999","92.9161","61.62069999999999","116.1692","151732224","69664768","10","10"
"4","traylate","10","81.3213","204.9368","775.3078","815.6091","1364.8161","1571.3794","123.0145","83.5395","16.4525","1264.0468","15.728499999999999","10.4456","2.3493999999999997","80.3972","186.66429999999997","43.730900000000005","94.6374","88.43790000000001","58.6434","113.3928","151048192","68931584","10","10"
"5","traylate","10","78.3551","202.2224","782.6064","831.7393","1364.8087","1576.5603","128.9034","87.8062","18.4902","1252.7879","17.592499999999998","11.8805","2.3396999999999997","83.4407","191.5797","44.4864","98.00690000000002","91.6683","60.0488","116.4986","151146496","69083136","10","10"
"5","baseline","10","84.8251","208.8154","831.6534","883.1614","1349.3938","1555.9712","124.8332","84.5935","17.7251","510.3269","15.9909","10.4901","2.3689","160.2687","186.4934","43.182199999999995","94.2163","87.9322","58.479699999999994","118.0443","149966848","67616768","10","10"
"5","traylate","1","82.1437","216.2861","704.4664","742.274","1216.0749","1385.5161","129.9561","88.3229","17.6763","1203.8271","16.1535","10.7375","2.3595","81.6407","113.2322","28.1168","76.0479","70.7029","56.3776","87.6431","113979392","39608320","1","1"
"5","baseline","1","80.5117","204.4716","728.3316","777.748","1190.6176","1332.1392","125.8211","85.5443","18.2564","504.5992","16.0574","10.7085","2.359","157.7946","111.8524","28.1919","74.6076","69.1897","55.2327","88.0991","113975296","38957056","1","1"
